Field,Current Section,Classification,Consumed By,Notes
hostname,identity,source-of-truth,"Terraform; Ansible","LXC hostname and inventory key"
ip_address,network,source-of-truth,"Terraform; Ansible","CIDR (e.g. 10.57.3.10/24)"
gateway,network,both,"Terraform; generated inventory","env default or per-stack override"
proxmox_node,infrastructure,source-of-truth,Terraform,"placement target"
network.zone,network,source-of-truth,"Terraform; inventory generator","SDN/bridge intent"
vmid,infrastructure,source-of-truth,Terraform,"optional explicit VMID"
cores,infrastructure,source-of-truth,Terraform,"CPU sizing"
memory,infrastructure,source-of-truth,Terraform,"RAM MiB"
swap,infrastructure,source-of-truth,Terraform,"Swap MiB"
rootfs_size,infrastructure,source-of-truth,Terraform,"GiB"
rootfs_storage,infrastructure,source-of-truth,Terraform,"storage pool"
docker_storage_size,infrastructure,source-of-truth,Terraform,"container volume sizing"
ostemplate,infrastructure,source-of-truth,Terraform,"template image reference"
tags,identity,source-of-truth,"Docs; validation; tooling","free-form labels"
depends_on,services,source-of-truth,Orchestration,"ordering metadata"
provides,services,source-of-truth,Validation,"advertised services/ports"
ansible_playbook,maintenance,source-of-truth,Provisioning scripts,"consumed by scripts/provision.sh"
deployment_tier,maintenance,source-of-truth,"Terraform; Ansible","platform vs apps behavior"
portainer_agent,integrations,source-of-truth,Ansible roles,"boolean feature flag"
portainer_server_ip,integrations,tf-derived,"Terraform/env → generated inventory","platform var default; overridable"
registry_host,integrations,both,"Terraform defaults / stack override → Ansible","platform variable flows into inventory"
apt_cacher_host,integrations,both,"Terraform defaults / stack override → Ansible","special-case: apt-cacher-stack sets empty"
extra_mount_path,infrastructure,source-of-truth,"Terraform; Ansible","mount path for large data"
extra_mount_size,infrastructure,source-of-truth,Terraform,"size for extra mount"
extra_mount_storage,infrastructure,source-of-truth,Terraform,"storage pool for extra mount"
app_stack_name,identity,source-of-truth,Platform defaults,"convenience alias"
keyctl,maintenance,source-of-truth,Ansible roles,"feature flag"
